Garanhão,Proprietário,Data de Produção (Embriovet),Origem Externa / Referência,Palhetas Produzidas,Qualidade (%),Motilidade (%),Concentração (milhões/mL),Dose inseminante (DI),Local Armazenagem,Certificado,Existência Atual,Observações
Nepomuk,,2022-11-08,,35.0,45.0,35.0,280.0,6,"2 | 4, 1º andar | quadrante 3",,35,
Gepard de Breka,,,,18.0,,,,2,"6 | 10, 1º andar | 1 hexagono",,18,
Toto jr,,,,5.0,,,,1,"6 | 10, 1º andar | gobelet",,5,
Zonick,,,,16.0,,,,2,,,16,
Reverly,,,,5.0,,,,,"6 | 10, 2º andar | gobelet",,5,
Chilli Willy,,,,3.0,,,,1,"6 | 10, 2º andar",,3,
Baloubet du Rouet,,,,,,,,,"2 | 2, 1º andar | gobelet",,2,
Zuelo,,,,9.0,,,,,,,9,
Poderoso,,,,9.0,,,,,,,9,
Latino,,,,6.0,,,,,,,16,
Galopin,,,,8.0,,,,,,,8,
Kannan,,,Especial,,,,,,"3 | 9, 2º andar | hexagono",,18,
Gladiador,,,16.11.18,11.0,55.0,40.0,,6,,,11,
Gladiador,,,19.11.19,86.0,45.0,40.0,208.0,6,"4 | 6, 2º andar | quadrante 4",,83,
Gladiador,,,21.11.18,86.0,50.0,45.0,136.0,6,"4 | 2, 2º andar | quadrante 3",,83,
Gladiador,,,23.11.18,55.0,20.0,15.0,224.0,6,,,55,
Gladiador,,,29.11.18,97.0,30.0,20.0,320.0,6,"7 | 2, 1º andar | quadrante 1",,97,
Gladiador,,,,,,,,,,,329,
Gladiador,,,,,,,,,,,329,
mahatador,,,,,,,,,"1 | 3, 1º andar | quadrantes 1 e 4",,114,
Assírio,,,,,,,,,"1 | 6, 1º andar | quadrante 2",,27,
Re-Eleito,,,Epi,72.0,,,,6,"5 | 1, 2º andar | quadrante 2, 3",,72,
Vitinha,,2018-03-04,,33.0,55.0,40.0,176.0,,"1 | 8, 1º andar | quadrante 4",,24,
Unico MM,,2018-06-22,,36.0,30.0,20.0,150.0,,"1 | 5, 1º andar | quadrante 1",,36,
Unico MM,,2018-06-23,,30.0,30.0,20.0,110.0,,"1 | 5, 1º andar | quadrante 1",,30,
Unico MM,,2018-06-24,,22.0,30.0,20.0,162.0,,"1 | 5, 1º andar | quadrante 1",,22,
Don Rico,,2018-07-13,,12.0,25.0,20.0,164.0,8,"1 | 5, 1~andar | quadrante 4",,12,
Don Rico,,2018-07-16,,68.0,25.0,20.0,300.0,8,"1 | 5, 1º andar | quadrante 4",,28,
Don Rico,,2018-07-18,,20.0,45.0,40.0,230.0,8,"1 | 5, 1º andar | quadrante 3",,20,
Don Rico,,2018-07-20,,26.0,45.0,35.0,246.0,8,"1 | 5, 1 andar | quadrante 2",,26,
Don Rico,,2018-07-23,,15.0,35.0,20.0,236.0,8,"1 | 5, 1º andar | quadrante 3",,15,
Don Rico,,2018-07-25,,21.0,50.0,40.0,154.0,8,"1 | 5, 1 andar | quadrante 2",,21,
Don Rico,,2018-07-27,,40.0,45.0,35.0,264.0,8,"1 | 9, 2º andar | quadrante 4",,19,
Don Rico,,2018-07-30,,53.0,45.0,35.0,148.0,8,"1 | 9, 2º andar | quadrante 2",,26,
Don Rico,,2018-08-01,,13.0,40.0,30.0,184.0,8,"1 | 9, 2º andar | gobelet",,13,
Don Rico,,,04-08-2018- epi,84.0,45.0,35.0,302.0,8,"1 | 9, 2º andar | quadrante 3",,60,
Dante,,,,53.0,,,,,"1 | 2, 1º andar | quadrante 4",,53,
Iceberg,,,,,,,,2,,,20,
Frasquete,,,,,,,,,"1 | 2, 2º andar | hexagono",,19,
Open Maestro,,,,,,,,,"1 | 3, 2º andar | hexagono",,15,
Belo da Foz,,,,,,,,,"3 | 6, 2º andar | 2 hexagonos",,74,
Cherribalou,,2019-05-24,,38.0,,,,,"2 | 6, 2º andar | gobelet",,37,
Cherribalou,,2019-05-24,,24.0,,,,,"2 | 6, 2º andar | gobelet",,17,
Cherribalou,,2020-06-17,,30.0,50.0,45.0,,,"7 | 6, 2º andar | hexagono",,30,
Cherribalou,,2020-06-19,,34.0,60.0,45.0,,,"7 | 10, 2º andar | quadrante 4",,34,
Cherribalou,,2020-06-23,,42.0,,,,,,,42,
Cherribalou,,2020-06-26,,63.0,,,,,,,63,
Cherribalou,,2020-07-30,,41.0,,,,,"7 | 2, 2º andar | quadrante 2",,41,
Cherribalou,,2020-07-02,,43.0,,,,,"4 | 2, 2º andar | quadrante 4",,43,
Cherribalou,,2020-08-06,,36.0,40.0,35.0,164.0,,"7 | 10, 1º andar | quadrante 3",,36,
Cherribalou,,2020-08-14,,27.0,,,,,"7 | 10, 1º andar | quadrante 4",,27,
Cherribalou,,2020-08-21,,48.0,,,,,"1 | 1, 2º andar | quadrante 1",,48,
Cherribalou,,2020-08-24,,30.0,70.0,65.0,213.0,,"7 | 9, 1º andar | quadrante 4",,30,
Cherribalou,,2020-07-29,,29.0,60.0,55.0,222.0,,,,29,
Cherribalou,,2020-07-30,,27.0,,,,,"7 | 7, 1º andar | quadrante 4",,27,
Cherribalou,,2020-07-31,,28.0,75.0,70.0,208.0,,,,28,
Cherribalou,,2020-08-01,,33.0,,,,,"3 | 2, 2º andar | hexagono",,33,
Cherribalou,,2020-08-02,,46.0,70.0,60.0,,,"4 | 2, 2º andar | quadrante 3",,46,
Cherribalou,,2020-09-16,,40.0,60.0,50.0,,,"7 | 6, 1º andar | quadrante 1",,40,
Cherribalou,,2020-09-19,,36.0,,,,,"2 | 10, 2º andar | quadrante 4",,36,
Cherribalou,,2020-09-21,,38.0,,,,,"2 | 10, 2º andar | quadrante 3",,38,
Cherribalou,,2020-09-23,,58.0,50.0,40.0,206.0,,"7 | 5, 2º andar | quadrante 2",,58,
Cherribalou,,2020-09-25,,23.0,40.0,40.0,236.0,,"7 | 6, 1º andar | quadrante 2",,23,
Cherribalou,,2020-09-28,,30.0,60.0,50.0,257.0,,"7 | 9, 2º andar | hexagon",,22,
Cherribalou,,2020-09-30,,31.0,70.0,60.0,152.0,,,,31,
Cherribalou,,2020-10-01,,37.0,60.0,55.0,202.0,,"3 | 2, 2º andar | hexagono",,37,
Cherribalou,,2020-10-05,,36.0,35.0,35.0,239.0,,"3 | 9, 2º andar | hexagono",,36,
Cherribalou,,2020-10-07,,49.0,45.0,40.0,251.0,,"3 | 9, 2º andar | quadrante 4",,49,
Cherribalou,,2020-10-12,,22.0,60.0,55.0,230.0,,"7 | 6, 1º andar | quadrante 1",,22,
Cherribalou,,2020-10-14,,35.0,,,,,"5 | 10, 1º andar | hexagono",,35,
Cherribalou,,2020-10-16,,50.0,60.0,50.0,193.0,,,,50,
Do Zaire,,2022-09-29,,23.0,40.0,30.0,100.0,6,"9 | 3, 2º andar | quad 2",,23,
Do Zaire,,2022-10-12,,73.0,40.0,35.0,272.0,6,"6 | 7, 2º andar | quadrante 2",,73,
Do Zaire,,2022-10-13,,65.0,50.0,40.0,240.0,6,"8 | 2, 2º andar | quad 4",,65,
Do Zaire,,2022-10-14,,91.0,50.0,40.0,152.0,6,"9 | 2, 2º andar | quad 2",,91,
Do Zaire,,2022-10-15,,51.0,65.0,55.0,212.0,6,"10 | 6, 2º andar | quad 2",,51,
Nicola,,2022-10-09,,50.0,30.0,25.0,,8,"4 | 9, 2º andar | quadrante 4",,50,
Nicola,,2022-10-12,,32.0,35.0,25.0,220.0,8,"5 | 4, 2º andar | quad 1",,32,
Nicola,,2022-10-13,,58.0,40.0,30.0,240.0,8,"2 | 9, 2º andar | quadrante 3",,58,
Nicola,,2022-10-14,,58.0,15.0,85.0,260.0,8,"9 | 2, 2º andar | quad 4",,58,
Nicola,,2022-10-15,,35.0,50.0,40.0,220.0,8,"4 | 5, 2º andar | quadrante 3",,35,
Nicola,,2022-10-16,,59.0,45.0,35.0,216.0,8,"2 | 10, 1º andar | quadrante 2,3",,59,
Nicola,,2022-10-17,,56.0,35.0,25.0,212.0,8,"10 | 6, 2º andar | quad 4",,56,
Nicola,,2022-10-18,,74.0,30.0,20.0,244.0,8,"3 | 9, 2º andar | quadrante 4",,74,
Nicola,,2022-10-19,,40.0,55.0,45.0,192.0,8,"7 | 4, 2º andar | quadrante 4",,40,
Nicola,,2022-10-20,,43.0,35.0,35.0,260.0,8,"10 | 2, 2º andar | quad 4",,43,
Nicola,,2022-10-21,,76.0,30.0,25.0,236.0,8,"10 | 2, 2º andar | quad 1",,76,
Óscar,,2022-11-17,,19.0,35.0,25.0,,,,,19,
Óscar,,2022-10-17,,41.0,50.0,40.0,264.0,,,,41,
Oporto FBC,,2022-09-04,,59.0,35.0,30.0,300.0,,,,59,
Oporto,,2022-08-25,,48.0,35.0,30.0,,,"2 | 10, 1º andar | quadrante 1",,28,
Oporto,,2022-08-26,,42.0,30.0,20.0,196.0,,"9 | 3, 2º andar | quad 2",,13,
Oporto,,2022-08-27,,32.0,40.0,30.0,212.0,,"6 | 9, 2º andar | quadrante 3",,10,
Oporto,,2022-08-30,,54.0,35.0,60.0,360.0,,"10 | 6, 1º andar | quad 3",,10,
Oporto,,2022-08-31,,52.0,40.0,35.0,312.0,,"2 | 10, 2º andar | quadrante 4",,17,
Oporto,,2022-09-02,,61.0,35.0,25.0,240.0,,"2 | 4, 1º andar | quadrante 4",,44,
Oporto,,2022-09-03,,38.0,50.0,40.0,420.0,,"4 | 9, 2º andar | quadrante 3",,26,
Licor da Toula,,2022-04-08,,181.0,1980.0,,221.0,8,,,161,
Ramalhete Embriovet,,2022-04-11,,23.0,,,,8,"10 | 3, 2º andar | quad 3",,23,
Ramalhete Embriovet,,2022-04-12,,18.0,40.0,40.0,,8,"10 | 4, 1º andar | quad 2",,18,
Ramalhete Embriovet,,2022-04-13,,16.0,45.0,40.0,155.0,8,"8 | 8, 2º andar | quad 2",,16,
Ramalhete Embriovet,,2022-04-14,,39.0,,,,8,"2 | 8, 2º andar | quadrante 3",,39,
Ramalhete Embriovet,,2022-04-15,,11.0,50.0,45.0,144.0,8,"7 | 7, 1º andar | quadrante 4",,11,
Ramalhete Embriovet,,2022-04-16,,12.0,,,,8,"1 | 9, 1º andar | 2º quadrante",,12,
Ramalhete Embriovet,,2022-04-17,,18.0,,,,8,"6 | 10, 2º andar | quadrante 2",,18,
Ramalhete Embriovet,,2022-04-18,,26.0,,,,8,"4 | 4, 1º andar | quadrante 4",,26,
Ramalhete Embriovet,,2022-04-19,,22.0,,,,8,,,22,
Ramalhete Embriovet,,2022-04-20,,20.0,,,,8,"10 | 4, 2º andar | quad 2",,20,
Ramalhete Embriovet,,2022-04-21,,28.0,,,,8,"7 | 10, 2º andar | quadrante 1",,28,
Ramalhete Embriovet,,2022-04-22,,35.0,,,,8,"1 | 5, 2º andar | 2º quadrante",,35,
Ramalhete Embriovet,,2022-04-23,,20.0,,,,8,"4 | 8, 2º andar | quadrante 3",,20,
Ramalhete Embriovet,,2022-04-24,,25.0,,,,8,"10 | 2, 1º andar | quad 4",,25,
Ramalhete Embriovet,,2022-04-25,,38.0,,,,8,"10 | 2, 1º andar | quad 2",,38,
Ramalhete Embriovet,,2022-04-26,,17.0,,,,8,"10 | 2, 1º andar | quad 1",,17,
Jacobino,,2022-10-07,,56.0,55.0,45.0,224.0,6,,,56,
Jacobino,,2022-10-10,,35.0,40.0,35.0,238.0,6,,,35,
Jacobino,,2022-10-12,,19.0,40.0,35.0,150.0,6,,,19,
Jacobino,,2022-10-14,,45.0,45.0,35.0,220.0,6,,,45,
Jacobino,,2022-10-17,,46.0,55.0,45.0,284.0,6,,,46,
Jacobino,,2022-10-19,,27.0,40.0,30.0,276.0,6,,,27,
Diamant,,,Agrovarandas,6.0,,,,1,,,4,
Ramalhete OC,,2022-04-27,,24.0,40.0,30.0,168.0,8,"2 | 2, 2º andar | 4º quadrante",,24,
Ramalhete OC,,2022-04-28,,32.0,55.0,45.0,187.0,8,"9 | 5, 2º andar | quad 1",,32,
Ramalhete OC,,2022-04-29,,38.0,55.0,45.0,224.0,8,"2 | 7, 2º andar | quarante 4",,38,
Ramalhete OC,,2022-04-30,,31.0,45.0,35.0,200.0,8,"3 | 10, 2º andar | quadrante 1",,31,
Ramalhete OC,,2022-05-01,,44.0,45.0,35.0,352.0,8,"12 | 1, 2º andar | quad 1",,32,
Ramalhete OC,,2022-05-02,,57.0,,,,8,"12 | 1, 2º andar | quad 3",,38,
Ramalhete OC,,2022-05-03,,44.0,45.0,35.0,29.0,8,"12 | 1, 1º andar | quad 1",,28,
Ramalhete OC,,2022-05-04,,44.0,,,,8,"12 | 1, 1º andar | quad 3",,36,
Ramalhete OC,,2022-05-05,,27.0,35.0,25.0,168.0,8,"12 | 2, 1º andar | quad 1",,27,
Ramalhete OC,,2022-05-06,,40.0,45.0,35.0,115.0,8,"10 | 1, 1º andar | quad 4",,40,
Ramalhete OC,,2022-05-07,,25.0,55.0,45.0,288.0,8,"10 | 2, 1º andar | quad 1",,25,
Rolex,,2021-10-21,,107.0,,,,,,,87,
Ofensor,,2022-12-22,,30.0,40.0,30.0,237.0,6,,,5,
Ofensor,,2022-12-24,,34.0,15.0,10.0,210.0,6,,,34,
Ofensor,,2022-12-26,,31.0,20.0,15.0,263.0,6,,,31,
Ofensor,,2022-12-27,,20.0,20.0,15.0,263.0,6,,,20,
Ofensor,,2022-12-28,,46.0,20.0,15.0,100.0,6,,,36,
Ofensor,,2022-12-29,,10.0,,,,6,,,8,
Ofensor,,2022-12-12,,16.0,30.0,20.0,217.0,6,,,10,
Ofensor,,2022-12-15,,25.0,30.0,20.0,211.0,6,,,17,
Ofensor,,2022-12-16,,29.0,40.0,30.0,322.0,6,,,7,
Ofensor,,2022-12-21,,18.0,35.0,30.0,181.0,6,,,10,
Ofensor,,2022-12-23,,40.0,50.0,40.0,206.0,6,,,3,
Ofensor,,2023-01-02,,40.0,40.0,,178.0,6,,,33,
Ofensor,,,03.01.23,20.0,40.0,35.0,264.0,6,5 | 3,,20,
Ofensor,,,04.01.23,36.0,35.0,30.0,181.0,6,,,36,
Ofensor,,,05.01.23,33.0,35.0,30.0,101.0,6,,,33,
Ofensor,,,06.01.23,40.0,40.0,35.0,250.0,6,6 | 1,,40,
Ofensor,,,07.01.23,38.0,35.0,30.0,280.0,6,2 | 4,,38,
Ofensor,,,08.01.23,33.0,35.0,30.0,204.0,6,4 | 8,,33,
Ofensor,,,09.01.23,33.0,35.0,30.0,115.0,6,10 | 1,,33,
Ofensor,,,10.01.23,28.0,45.0,30.0,280.0,6,6 | 1,,28,
Ofensor,,,11.01.23,31.0,40.0,35.0,135.0,6,9 | 2,,31,
Ofensor,,,12.01.23,39.0,45.0,30.0,280.0,6,4 | 7,,39,
Ofensor,,,13.01.23,32.0,40.0,30.0,112.0,6,9 | 2,,32,
Ofensor,,,14.01.23,33.0,45.0,30.0,205.0,6,6 | 1,,33,
Ofensor,,,15.01.23,58.0,35.0,30.0,207.0,6,9 | 2,,58,
Ofensor,,,16.01.23,22.0,30.0,30.0,328.0,6,3 | 7,,22,
Neptuno das Faias,,2022-12-19,,32.0,15.0,10.0,224.0,10,"9 | 5, 2º andar | quad 3",,31,
Neptuno das Faias,,2022-12-20,,37.0,35.0,25.0,312.0,10,"9 | 2, 2º andar | quad 3",,37,
Neptuno das Faias,,2022-12-21,,25.0,35.0,25.0,224.0,10,"12 | 2, 1º andar | quad 4",,25,
Neptuno das Faias,,2022-12-22,,36.0,25.0,15.0,320.0,10,"6 | 3, 2º andar | quadrante 1",,36,
Neptuno das Faias,,2022-12-23,,49.0,35.0,25.0,257.0,10,"12 | 2, 1º andar | quad 1",,49,
Neptuno das Faias,,2022-12-24,,48.0,30.0,20.0,320.0,10,"12 | 2, 2º andar | quad 3",,48,
Neptuno das Faias,,2022-12-26,,21.0,20.0,10.0,220.0,10,"12 | 3, 1º andar | quad 4",,21,
Neptuno das Faias,,2022-12-27,,25.0,30.0,20.0,280.0,10,"12 | 3, 1º andar | quad 3",,25,
Neptuno das Faias,,2022-12-28,,32.0,30.0,20.0,219.0,10,"3 | 9, 2º andar | quadrante 1",,32,
Neptuno das Faias,,2022-12-29,,39.0,,,,10,"7 | 6, 2º andar | quadrante 1",,39,
Neptuno das Faias,,2022-12-30,,39.0,1980.0,,176.0,10,,,39,
Poema,,2023-02-09,,19.0,40.0,30.0,256.0,8,,,19,
Poema,,2023-02-10,,34.0,35.0,25.0,202.0,8,,,13,
Poema,,2023-02-13,,30.0,45.0,40.0,192.0,8,,,30,
Poema,,2023-02-16,,35.0,45.0,40.0,192.0,8,,,35,
Poema,,2023-02-17,,21.0,45.0,40.0,266.0,8,,,21,
Poema,,2023-02-18,,32.0,35.0,35.0,225.0,8,,,28,
Poema,,2023-02-19,,35.0,40.0,30.0,260.0,8,,,31,
Odin,,2023-02-10,,35.0,70.0,60.0,176.0,,,,1,
Odin,,2023-02-18,,58.0,50.0,45.0,260.0,,,,7,
Odin,,2023-02-19,,36.0,70.0,60.0,223.0,,,,2,
Odin,,2023-02-22,,51.0,,,,,,,1,
Odin,,2023-02-24,,36.0,,,,,,,11,
Odin,,,Espanha,,,,,,,,112,
L-Chatender Hermida,,,17/02/2023A,82.0,70.0,60.0,250.0,,,,76,
L-Chatender Hermida,,,17/02/2023B,22.0,80.0,70.0,244.0,,,,22,
Istambul,,2024-03-12,,,,,,,,,68,
Perdigão Peramanca,,2026-01-02,,62.0,35.0,30.0,192.0,,3 | 10,,62,
Perdigão Peramanca,,2025-12-04,,58.0,30.0,25.0,161.0,,13 | 1,,58,
Perdigão Peramanca,,2025-12-05,,48.0,40.0,30.0,187.0,,10 | 6,,48,
Pacifico lagesse,,,26.12.25,58.0,60.0,55.0,284.0,4,6 | 6,,58,
Pacifico lagesse,,,27.12.25,45.0,70.0,60.0,299.0,4,,,45,
Pacifico lagesse,,,28.12.25,94.0,55.0,45.0,270.0,4,5 | 3,,94,
Pacifico lagesse,,,29.12.25,149.0,70.0,60.0,271.0,4,10 | 5,,149,
Pacifico lagesse,,,30.12.25,102.0,70.0,60.0,293.0,4,,,102,
Pacifico lagesse,,,02.01.26,96.0,65.0,55.0,220.0,4,3 | 6,,96,
Pacifico lagesse,,,03.01.26,69.0,50.0,40.0,,4,3 | 4,,69,
Pacifico lagesse,,,04.01.26,110.0,55.0,45.0,300.0,4,2 | 2,,110,
Pacifico lagesse,,,05.01.26,93.0,35.0,30.0,337.0,4,2 | 3,,93,
Pacifico lagesse,,,06.01.26,39.0,70.0,60.0,246.0,4,6 | 1,,39,
Pacifico lagesse,,,07.01.26,25.0,50.0,50.0,236.0,4,3 | 7,,25,
Pacifico lagesse,,,08.01.26,73.0,55.0,45.0,328.0,4,1 | 2,,73,
Pacifico lagesse,,,09.01.26,107.0,55.0,45.0,,4,6 | 9,,107,
Pacifico lagesse,,,10.01.26,58.0,65.0,55.0,350.0,4,3 | 7,,58,
Obélix,,,28.01.26,42.0,45.0,40.0,140.0,,C13C6,,42,
Obélix,,,29.01.26,51.0,30.0,20.0,214.0,,C3C1,,51,
Obélix,,,30.01.26,41.0,45.0,40.0,212.0,,C13C6,,41,
Obélix,,,31.01.26,51.0,30.0,20.0,267.0,,C8C8,,51,
